CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
1,admin,adminpass,g0t r00t?,User,System,Administrator,01e41be04b4f220a8dd99bb1455e5373,c775cf5a80fc6a492d86e62a4b73e9fdc8c4ffdfe109bfe34de4acbe59a6f12e
2,adrian,somepassword,Zombie Films Rock!,User,Adrian,Crenshaw,bc4617e3585e2b41c94b090e0b73a004,03138aa43705c79bae9f3a3b362cdadced86771b9417ffec27825a67284c35b5
3,patches,tortoise,meow,User,Patches,Pester,8c30b0f5d90787c02c66ec0d2a3060af,f0c111f74df6db81bb90a9fb791b537cfc6cc7d857183b055582c3edb7331504
4,jeremy,password,d1373 1337 speak,User,Jeremy,Druin,ef4f5b48a02ff53e1aff84cd88cd1059,504ed26d2612eaf6cd96a9f30f666b9d87d115014447ee2407f610c2c54c90df
5,bryce,password,I Love SANS,User,Bryce,Galbraith,950a0c560e9a079b64520ba103ec47c2,a7e0ae1e7b6f923f2ed9fe98e2cc2e15d29ee767a7dd600a078d8529a2edbfc4
6,samurai,samurai,Carving fools,User,Samurai,WTF,aacceaac0289229c9ad03aa5d066a8b4,0a2575d13c73156511e88291afbac5e30f4c5db3db5f7b32f1e3f8782416f390
7,dodgerjim,password,Rome is burning,User,Jim,Rome,1aca4024435810de380f73bdd2624e12,2a78eb0ff2718c67416aca1d7acee6adc325059e7b0c92ce48e2040eb1b01bd6
8,bobby,password,Hank is my dad,User,Bobby,Hill,25ca28ff21082b9b40f37370ddeb3f0a,6480fbbfc89b1243dad5f463dfba0447d1fdcc0963aa3d87fea6e0501c5ec2cc
9,simba,password,I am a super-cat,User,Simba,Lion,99efe26203bd5dd416e6d186579ac5ae,92b23dd0455605853a8d74356f19838d8addcdd816cfe19513c633226062d381
10,dreveil,password,Preparation H,User,Dr.,Evil,2964981aa11057739a1087b03e9b6abc,340b444e65e14a1889e5429a3b78c6ae10aaa0e313c654e661d6d74b7033793a
11,scotty,password,Scotty do,User,Scotty,Evil,8debe360b96974807a74c3377bed5abd,555bae526bb9738bb9ced2efcdb5359e0539d34368872e106e33298e5fa77190
12,cal,password,C-A-T-S Cats Cats Cats,User,John,Calipari,59c9fd2ddc3018824d89e0b3ada25d2f,b2b8e25c30ec32db90f5dd44d6e36399f50c54251d4155f66d0ac4ba032069cd
13,john,password,Do the Duggie!,User,John,Wall,1d8eaa6b021690fa073d8526bb3b0916,c8cd14ece196b75d770d5edd19a532ddfee02b49b9ff31422f58043ee471caa6
